Factor_Category,Sub_Category,Participant_ID,Quote,Context,Analysis_Theme,Table_7_Reference
Organizational_Integration,Policy Support,T12-02,Institutional policies have facilitated data sharing across departments.,Discussion on data management.,Data Sharing Facilitation,
Knowledge_Mobilization,Result_Utilization,T13-03,Our research outcomes have influenced local health policies.,Presentation at a policy forum.,Research Impact,
PI_Leadership,Strategic Planning,T14-04,Strategic planning sessions help us adapt to emerging challenges.,Project planning meeting.,Adaptive Leadership,
Team_Dynamics,Motivation,T15-05,Recognizing individual contributions boosts team motivation.,Team motivation talk.,Recognition and Morale,
Organizational_Integration,Funding,T16-02,Securing consistent funding is vital for sustained research.,Funding application discussion.,Financial Stability,
Knowledge_Mobilization,Research_Process,T17-01,Regular workshops have helped us stay aligned with current best practices.,Research training session.,Ongoing Capacity Building,
PI_Leadership,Mentorship,T18-04,Mentoring junior researchers ensures the longevity of our research initiatives.,Mentorship program discussion.,Research Sustainability,
Team_Dynamics,Team Cohesion,T19-03,Shared goals and mutual respect foster a strong team spirit.,Team-building exercise.,Team Cohesion,
Knowledge_Mobilization,Research_Process,T01-01,Sharing preliminary results helped us secure additional funding.,Discussion during project funding application,Funding Strategy,
PI_Leadership,Team_Management,T02-05,Clear delegation of tasks improved team productivity.,Team meeting about project roles,Leadership Effectiveness,
Team_Dynamics,Member_Heterogeneity,T03-12,Diverse backgrounds brought innovative perspectives.,Workshop on team composition,Creativity and Diversity,
Organizational_Integration,Institutional Support,T04-09,Institutional resources are crucial for interdisciplinary work.,Interview with research coordinator,Resource Accessibility,
Knowledge_Mobilization,Result_Utilization,T05-03,Our findings are being used in community health programs.,Follow-up interview on impact,Knowledge Dissemination,
PI_Leadership,Research Vision,T01-07,Having a shared vision aligns the team.,Planning session,Strategic Leadership,
Team_Dynamics,Communication,T02-11,Regular meetings keep everyone on the same page.,Weekly team update,Communication Patterns,
Organizational_Integration,Policy Influence,T04-02,Our research influences institutional policies.,Policy review meeting,Research Impact,
Knowledge_Mobilization,Community Engagement,T05-09,Engaging stakeholders early improves project relevance.,Stakeholder consultation,Community Involvement,
PI_Leadership,Mentorship,T01-04,Mentoring junior researchers boosts team capacity.,Mentorship program discussion,Capacity Building,
Team_Dynamics,Conflict Resolution,T03-08,Open dialogue helps resolve disagreements.,Conflict resolution workshop,Team Cohesion,
Organizational_Integration,Funding Opportunities,T04-15,Collaborations open new funding avenues.,Grant proposal planning,Resource Acquisition,
Knowledge_Mobilization,Dissemination Strategies,T05-14,Publishing in open access journals broadens reach.,Publication planning meeting,Open Access,
PI_Leadership,Innovation,T01-13,Encouraging innovative ideas keeps the project dynamic.,Research brainstorming session,Innovation Culture,
Team_Dynamics,Motivation,T02-06,Recognition boosts team morale.,Team awards presentation,Motivational Strategies,
Organizational_Integration,Administrative Support,T04-19,Administrative assistance saves time for researchers.,Administrative staff meeting,Efficiency Improvement,
Knowledge_Mobilization,Policy Advocacy,T05-16,Research evidence strengthens policy arguments.,Policy development workshop,Evidence-Based Policy,
PI_Leadership,Funding Management,T01-20,Transparent budget management builds trust.,Financial review session,Trust Building,
Knowledge_Mobilization,Research_Process,T01-01,Sharing preliminary findings helped us refine our approach.,"During early project phases, team discussion.",Feedback Loop,
PI_Leadership,Research Strategy,T01-02,Setting clear goals kept the team focused.,Initial project planning meeting.,Leadership Clarity,
Team_Dynamics,Communication,T01-03,Regular check-ins reduced misunderstandings.,Weekly team meetings.,Effective Communication,
Organizational_Integration,Resource Allocation,T01-04,Aligning project needs with organizational resources was challenging.,Resource planning phase.,Resource Management,
Knowledge_Mobilization,Result_Utilization,T01-05,Our findings influenced policy changes.,Dissemination of results.,Impact of Research,
PI_Leadership,Mentorship,T01-06,Mentoring junior researchers improved team cohesion.,Mentorship sessions.,Leadership Development,
Team_Dynamics,Heterogeneity,T01-07,Diverse expertise enriched the project.,Interdisciplinary collaboration.,Team Diversity,
Organizational_Integration,Policy Support,T01-08,Institutional support facilitated data collection.,Fieldwork phase.,Institutional Support,
Knowledge_Mobilization,Communication Strategies,T01-09,Visual aids made complex data accessible.,Presenting findings to stakeholders.,Communication Tools,
PI_Leadership,Decision Making,T01-10,Collaborative decision-making fostered ownership.,Team meetings.,Participatory Leadership,
Team_Dynamics,Conflict Resolution,T01-11,Addressing conflicts openly improved trust.,Dispute resolution sessions.,Conflict Management,
Organizational_Integration,Training Programs,T01-12,Training enhanced data analysis skills.,Workshop participation.,Capacity Building,
Knowledge_Mobilization,Stakeholder Engagement,T01-13,Engaging community members increased relevance.,Community meetings.,Stakeholder Collaboration,
PI_Leadership,Vision Setting,T01-14,Having a clear vision motivated the team.,Strategic planning session.,Vision and Motivation,
Team_Dynamics,Role Clarity,T01-15,Clear roles prevented duplication of efforts.,Project kickoff.,Role Definition,
Organizational_Integration,Funding Acquisition,T01-16,Securing funding was critical for sustainability.,Grant writing process.,Funding Strategies,
Knowledge_Mobilization,Policy Advocacy,T01-17,Research findings supported advocacy efforts.,Policy briefing.,Advocacy Impact,
PI_Leadership,Innovative Practices,T01-18,Encouraging innovation led to new methodologies.,Research development.,Innovation Leadership,
Team_Dynamics,Motivation,T01-19,Recognizing team efforts boosted morale.,Team appreciation event.,Motivation and Morale,
Organizational_Integration,Partnerships,T01-20,Building partnerships expanded our reach.,Collaboration with external organizations.,Partnership Building,
Knowledge_Mobilization,Research_Communication,T01-01,Clear communication of our findings helped in policy uptake.,Discussing dissemination strategies to policymakers.,Effective Communication,
PI_Leadership,Mentorship,T01-02,My mentor always encourages innovative approaches.,Reflecting on leadership support.,Supportive Leadership,
Team_Dynamics,Interpersonal_Collaboration,T01-03,Open dialogue within the team fosters trust.,Team meetings on project progress.,Trust Building,
Organizational_Integration,Institutional Support,T01-04,Institutional resources are crucial for project success.,Discussing resource allocation.,Resource Accessibility,
Knowledge_Mobilization,Stakeholder Engagement,T01-05,Engaging stakeholders early improved project relevance.,Planning stakeholder involvement.,Stakeholder Engagement,
Knowledge_Mobilization,Research_Process,T01-01,We often struggle to communicate our findings to stakeholders.,Participant discussing dissemination challenges.,Communication Barriers,
Knowledge_Mobilization,Result_Utilization,T01-02,Our research results rarely influence policy decisions.,Participant reflecting on impact.,Limited Policy Influence,
PI_Leadership,Team_Management,T01-03,Effective leadership is crucial for team cohesion.,Participant on team management.,Leadership Impact,
PI_Leadership,Academic_Vision,T01-04,Having a clear research vision helps guide our projects.,Participant discussing project direction.,Visionary Leadership,
Team_Dynamics,Member_Heterogeneity,T01-05,Diverse team members bring different perspectives.,Participant on team composition.,Diversity Benefits,
Organizational_Integration,Collaboration,T01-06,Our organization fosters collaboration across departments.,Participant on organizational culture.,Collaborative Environment,
Knowledge_Mobilization,Research_Process,T01-07,Data sharing protocols slow down our progress.,Participant on research logistics.,Data Sharing Challenges,
PI_Leadership,Team_Dynamics,T01-08,Clear roles and responsibilities improve team efficiency.,Participant on team structure.,Team Efficiency,
Organizational_Integration,Resource Allocation,T01-09,Resource limitations hinder our project scope.,Participant on organizational support.,Resource Constraints,
Knowledge_Mobilization,Result_Utilization,T01-10,Stakeholders often request tailored outputs.,Participant on stakeholder engagement.,Stakeholder Expectations,
Team_Dynamics,Member_Heterogeneity,T01-11,Different expertise levels can create communication gaps.,Participant on team interactions.,Communication Gaps,
PI_Leadership,Research_Participation,T01-12,Motivating team members is an ongoing challenge.,Participant on team motivation.,Motivation Strategies,
Organizational_Integration,Collaboration,T01-13,Interdepartmental collaborations are essential for success.,Participant on organizational practices.,Collaboration Importance,
Knowledge_Mobilization,Research_Process,T01-14,We need better tools for data visualization.,Participant on research presentation.,Visualization Tools,
PI_Leadership,Academic_Vision,T01-15,Aligning team goals with organizational goals is vital.,Participant on strategic planning.,Goal Alignment,
